name,value
AB_Anforderung_eCall,keine_Anforderung
BCM_Bremsbelag_Sensor,OK
BCM_Bremsbelag_Sensor_CND,OK
BCM_Bremsbelag_Sensor_NAR,OK
BCM_Bremsbelag_Sensor_Rdw,OK
BCM_Kuehlmittel_Sensor,OK
BMS_DC_Ladeprofil_Wechsel,keinWechselMoeglich
BMS_DC_Ladeschuetze_Ist,Init
BMS_IsoFehler,IsoFehler_Schwelle_2
BMS_IsoFehler,IWU_defekt
BMS_IsoFehler,kein_IsoFehler
BMS_Ladezustand,57.2
BMS_Ladezustand,38
BMS_Ladezustand,53.75
BMS_Ladezustand,42.95
BMS_Ladezustand,39.35
BMS_Ladezustand,36.95
BMS_Ladezustand,60.9
BMS_Ladezustand,66.15
BMS_Ladezustand,33.5
BMS_Ladezustand,74.25
BMS_Ladezustand,62.7
BMS_Ladezustand,60.4
BMS_Ladezustand,59.65
BMS_Ladezustand,37.7
BMS_Ladezustand,50.2
BMS_Ladezustand,51.75
BMS_Ladezustand,64.75
BMS_Ladezustand,42.75
BMS_Ladezustand,43.75
BMS_Ladezustand,35.6
BMS_Ladezustand,57.95
BMS_Ladezustand,50
BMS_Ladezustand,72.3
BMS_Ladezustand,54.1
BMS_Ladezustand,68.1
BMS_Ladezustand,59
BMS_Ladezustand,64.05
BMS_Ladezustand,70.45
BMS_Ladezustand,41.65
BMS_Ladezustand,68.45
BMS_Ladezustand,59.2
BMS_Ladezustand,44.05
BMS_Ladezustand,56.9
BMS_Ladezustand,73.95
BMS_Ladezustand,42.35
BMS_Ladezustand,68.65
BMS_Ladezustand,57.35
BMS_Ladezustand,61.05
BMS_Ladezustand,33.95
BMS_Ladezustand,62.95
BMS_Ladezustand,37.65
BMS_Ladezustand,73.3
BMS_Ladezustand,52.85
BMS_Ladezustand,51.45
BMS_Ladezustand,42.7
BMS_Ladezustand,74.35
BMS_Ladezustand,41.25
BMS_Ladezustand,65.5
BMS_Ladezustand,37.75
BMS_Ladezustand,57.6
BMS_Ladezustand,37.6
BMS_Ladezustand,53.55
BMS_Ladezustand,66.25
BMS_Ladezustand,38.5
BMS_Ladezustand,50.1
BMS_Ladezustand,63.45
BMS_Ladezustand,71.25
BMS_Ladezustand,69.65
BMS_Ladezustand,38.3
BMS_Ladezustand,68.15
BMS_Ladezustand,72.05
BMS_Ladezustand,37.85
BMS_Ladezustand,59.85
BMS_Ladezustand,37.5
BMS_Ladezustand,55.95
BMS_Nutzbare_EntladeEnergie,38415
BMS_Nutzbare_EntladeEnergie,46115
BMS_Nutzbare_EntladeEnergie,54130
BMS_Nutzbare_EntladeEnergie,38370
BMS_Nutzbare_EntladeEnergie,46355
BMS_Nutzbare_EntladeEnergie,37840
BMS_Nutzbare_EntladeEnergie,38130
BMS_Nutzbare_EntladeEnergie,45825
BMS_Nutzbare_EntladeEnergie,55970
BMS_Nutzbare_EntladeEnergie,31060
BMS_Nutzbare_EntladeEnergie,50690
BMS_Nutzbare_EntladeEnergie,44260
BMS_Nutzbare_EntladeEnergie,41020
BMS_Nutzbare_EntladeEnergie,53745
BMS_Nutzbare_EntladeEnergie,52210
BMS_Nutzbare_EntladeEnergie,38860
BMS_Nutzbare_EntladeEnergie,44715
BMS_Nutzbare_EntladeEnergie,41210
BMS_Nutzbare_EntladeEnergie,49310
BMS_Nutzbare_EntladeEnergie,55780
BMS_Nutzbare_EntladeEnergie,44040
